"project_id","title","description","operating_unit","budget","expense"
"00085894","Law and Order Trust Fund for Afghanistan – Phase VII","LOTFA VII aims to achieving a paid, professional Afghan Police that delivers essential services to the people for improved public trust, safety and security under accountable, effective and efficient civilian Ministry of Interior  leadership.","Afghanistan","293096781.00","237601904.00"
"00089137","Law and Order Trust Fund for Afghanistan (LOTFA) - SUPPORT TO PAYROLL MANAGEMENT","LOTFA Support to Payroll Management Project, provides exclusive support to fulfill the Ministry of Interior payroll management. This project was jointly developed by Government of Afghanistan, Ministry of Interior, UNDP, donors and other partners.","Afghanistan","283773090.00","237051421.00"
"00077591","Addressing Critical Gaps HIV Prevention, Treatment, Care","The projects seeks to address the critical gaps in HIV/AIDS interventions in Zimbabwe through reaching the most vulnerable populations in each of the 10 provinces of Zimbabwe.","Zimbabwe","154746692.00","132085196.00"
"00076058","SSF HIV Grant in Zambia","Securing and sustaining equitable access to ART commodities and services","Zambia","67230012.00","73634847.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","63026551.00","48341363.00"
"00061324","PIMS 4561 GEF-SGP Operational Phase 5","PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.","Bureau Policy & Prog Support","47808621.00","46133715.00"
"00073160","Proyecto Especial Apoyo Organizacion Juntas Gob BM / FMI","Proyecto Especial de apoyo a la generación de capacidades para la consecución de objetivos de desarrollo - organización de Juntas de Gobernadores BM/FMI - 2015 Perú","Peru","47673068.00","47218445.00"
"00056943","Atención Primaria de la Salud","El objetivo de Proyecto es apoyar la implementación de acciones definidas por el Ministerio de Salud, orientadas a mejorar la salud de la población, mediante la consolidación de las redes provinciales de servicios públicos de salud.","Argentina","45785451.00","42671694.00"
"00076471","Appui au Cycle Electoral","Le projet vise à appuyer le Conseil Électoral (CEP), en vue de l’organisation des élections présidentielles, législatives, locales et municipales de 2015 et 2016.","Haiti","41335318.00","39384222.00"
"00081239","UN response to BIH floods 2014","UN response to BIH floods is UNDP coordinated international community's response to sever floods that hit Bosnia and Herzegovina in May 2014.","Bosnia and Herzegovina","39494111.00","35713578.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","38745495.00","37747167.00"
"00063078","Enhancing Legal and Electoral Capacity for Tomorrow 2","Enhancing Legal and Electoral Capacity for Tomorrow 2  supports the Independent Election Commission of Afghanistan with capacity development and voters registry in Afghanistan.","Afghanistan","36474612.00","30109697.00"
"00058656","Programa de Formación Académico Musical","Apoyar el proceso de consolidación estratégica de Fundación Musical Simón Bolívar a través de profesionalización y dotación de instrumentos y equipos, para el mejoramiento de las condiciones de vida de niños, niñas y adolescentes en condición de pobreza","Venezuela","33147022.00","28454277.00"
"00083980","Fortalecimiento institucional del acceso democrático a las Tecnologias de Informacion y Comunicacion como medio para l ainclusión social en Argentina","Fortalecimiento institucional del acceso democrático a las TIC como medio para l ainclusión social en Argentina","Argentina","33120059.00","569503.00"
"00050123","Emergency Supply & Advanced Plan for Early Recovery-Gaza","Emergency Supply & Advanced Plan. for Early Recovery-Gaza.  This project aims to support advanced UN ER co.ord. and inter-agency programming, for comprehensive and multi-stakeholders.","Prog for Palestinian People","30653615.00","30203891.00"
"00040729","Développement local","Ce projet vise à renforcer les capacités des acteurs locaux sur la chaîne PPBSE au niveau local.  il met un accent particulier sur la responsabilité des communautés afin de permettre une implication plus accrue au processus de développement local","Congo","29842179.00","572215.00"
"00086450","Sudan Global Fund to fight Aids, Tuberculosis & Malaria","To support Sudan Country Response to address Challenges related to Tuberculosis, Malaria, HIV/AIDS and Health System Weaknesses.","Sudan, Republic of the","28914221.00","18984994.00"
"00057359","National Area-Based Development Programme Phase III","National Area Based Development Programme - Phase III - Aiming and contributing to a sustainable reduction of poverty and improving livelihoods in rural areas in Afghanistan.","Afghanistan","26924609.00","19336561.00"
"00086871","Programme d'Urgence de Developpement Communautaire","Le Programme d’urgence de développement communautaire vise à contribuer à l’amélioration significativement des conditions de vie des populations .","Senegal","26034031.00","22762153.00"
"00084981","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales – Proyectos BID","Argentina","25700000.00","20479581.00"
"00073717","Fortalecimiento capacidades Programa Qali Warma","Fortalecimiento de las capacidades del Programa Nacional de Alimentación Escolar Qali Warma del MIDIS para mejorar la atención alimentaria de los niños y niñas de las zonas rurales.","Peru","24288153.00","28317538.00"
"00086140","Projet d'Appui au Cycle Electoral 2014-2016","Projet d’Appui au Cycle Électoral de la République Centrafricaine (2014-2016) – PACEC","Central African Republic","24261461.00","23395258.00"
"00078929","Support humanitarian work in Sudan 2014","United Nations Development Programme (UNDP) Sudan Common Humanitarian Fund (CHF) 2014 in line with UNDP’s role as Managing Agent of the Sudan Humanitarian Fund for Non Governmental Organizations (NGOs).","Sudan, Republic of the","22779103.00","17558833.00"
"00086373","South Sudan Common Humanitarian Fund RD1 2015","South Sudan Common Humanitarian Fund - CHF 2015 First Standard Allocation responding to the Humanitarian Situation","South Sudan, Republic of","22289212.00","21864342.00"
