"project_id","title","description","operating_unit","budget","expense"
"00089137","Law and Order Trust Fund for Afghanistan (LOTFA) - SUPPORT TO PAYROLL MANAGEMENT","LOTFA Support to Payroll Management Project, provides exclusive support to fulfill the Ministry of Interior payroll management. This project was jointly developed by Government of Afghanistan, Ministry of Interior, UNDP, donors and other partners.","Afghanistan","348941082.00","323644242.00"
"00089459","Funding Facility for Stabilization","To quickly respond to immediate needs of the areas which were under Islamic State of Iraq and Levant (ISIL) control and facilitate the process of return of internally displaced persons, this project provides stabilization support in Iraq.","Iraq","269631781.00","283167407.00"
"00107802","Commitment Towards Fast Tracking 90-90-90 Targets","Commitment Towards Fast Tracking 90-90-90 Targets by 2010 and Ending AIDS by 2030","Zimbabwe","169503977.00","136902719.00"
"00090474","Procurement Support Services to Ministry of Health","At the request of the MoH, UNDP procures a range of medicines and medical products as an emergency measure, and builds the capacity needed to support a transparent, cost-effective procurement system for the Ministry.","Ukraine","143128113.00","130630271.00"
"00105005","UN Electoral Support Project (UNESP)","The UN Electoral Support Project  is the international community’s programming vehicle to support the next elections in Afghanistan is supporting by the United Nation Development Programme UNDP.","Afghanistan","85295471.00","48201211.00"
"00099947","Yemen Crisis Response Project II","The 24-month Emergency Crisis Response Project (ECRP) aims to mitigate the impact of the current crisis on local households and communities and assist their recovery from the bottom-up using local systems,","Yemen","62827161.00","57546558.00"
"00115045","APOYO A LOS SISTEMAS NACIONALES DE SERVICIOS PUBLICOS","Apoyo a la Corporación Venezolana de Comercio Exterior para optimización  de los sistemas de servicios publicos : Transporte, agua potable, energía eléctrica y gestión de desechos sólidos","Venezuela","55886939.00","0.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","52861248.00","32228858.00"
"00073902","Programmade Gobernanza y Gestion en Salud - Proyectos ""Banco Internacional de Reconstruccion y Fomento""","Con la realización del Proyecto, se espera lograr una: i) Gestión Centralizada de la UFIS de la cartera del BM; ii) Apoyo en la utilización y calidad de los servicios de salud priorizados para la población sin cobertura explicita de salud.","Argentina","44425771.00","1132675.00"
"00090372","GEF-SGP Operational Phase 6","GEF-SGP OP6 will target its support towards priority landscapes and seascapes for community based conservation actions, promote sustainable energy access co-benefits, climate smart agro-ecology, and local to global chemicals coalitions.","Bureau Policy & Prog Support","34900099.00","37468383.00"
"00085156","Iraq Crisis Response and Resilience","Iraq Crisis Response and Resilience is a programme that supports crisis response, and helps to strengthen resilience in Iraq.","Iraq","34445359.00","25674754.00"
"00084981","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales – Proyectos BID","Argentina","33427968.00","6577393.00"
"00112695","Programme d’Appui à la Lutte Antipaludique au Tchad – Phase III ","Le projet PALAT III s’inscrit dans le cadre du financement du Fonds mondial pour la lutte contre le paludisme au Tchad pour la période allant du 1er juillet 2018 au 30 juin 2021","Chad","33279374.00","28185652.00"
"00117780","South Sudan Humanitarian Fund - SSHF 2019 SA1 MA/NGOs","Established in line with UNDP's role as Managing Agent for the South Sudan Humanitarian Fund","South Sudan, Republic of","30630338.00","30321623.00"
"00094616","Immediate Stabilization Facility for Libya","This project will support the Government of National Accord (GNA) to deliver basic services and develop legitimacy by contributing to recovery and peace efforts.","Libya","30380749.00","22044713.00"
"00116195","Supporting Stability and Recovery through Local Gov","The project aims to assist the Government of Iraq (GoI) to restore the legitimacy of the country's institutions and to renew the social contract between citizens and state in a context of fractured and sectarian governance","Iraq","29201864.00","1950922.00"
"00090603","Bosques Nativos y Comunidad","El Objetivo proyecto es la mejora de la calidad de vida de las comunidades que habitan los Bosques Nativos a través de la promoción de la conservación, restauración y uso responsable de sus servicios y productos.","Argentina","29130741.00","2829296.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","29044222.00","28067563.00"
"00065799","Supporting Lebanese Hosting Communities","Support to economic recovery, community security and social cohesion in Lebanese communities affected by the Syrian Crisis","Lebanon","28103218.00","27145630.00"
