"project_id","title","description","operating_unit","budget","expense"
"00061104","Law and Order Trust Fund for Afghanistan – Phase VI","Law and Order Trust Fund for Afghanistan – Phase VI is aimed to support the Ministry of Interior by providing police remunerations, infrastructure development and capacity development at different levels.","Afghanistan","613373891.00","493403788.00"
"00058658","Universal access in HIV Prevention, Treatment, Care","Round 8 HIV AIDS Grant: Towards universal access: in HIV Prevention, Treatment, Care and Support in Zimbabwe: ZIM-809-G11-H","Zimbabwe","104626965.00","31036566.00"
"00057048","Modernización Registro Nacional de las Personas","Modernización Tecnológica e Informatización del Registro Nacional de las Personas","Argentina","89838203.00","87970513.00"
"00057359","National Area-Based Development Programme Phase III","National Area Based Development Programme - Phase III - Aiming and contributing to a sustainable reduction of poverty and improving livelihoods in rural areas in Afghanistan.","Afghanistan","71978747.00","44918385.00"
"00059485","Sudan Common Humanitarian Fund 2010","UNDP Sudan Common Human Fund CHF 2010 is a multi-donor pooled fund used to support the timely allocation and disbursement of donor resources to the most critical humanitarian needs of Sudan","Sudan, Republic of the","59456774.00","44121678.00"
"00056943","Atención Primaria de la Salud","El objetivo de Proyecto es apoyar la implementación de acciones definidas por el Ministerio de Salud, orientadas a mejorar la salud de la población, mediante la consolidación de las redes provinciales de servicios públicos de salud.","Argentina","55276712.00","54316266.00"
"00060777","Afghanistan Peace & Reintegration Programme","Afghanistan Peace & Reintegration Programme works to promote peace, reconciliation and security in Afghan communities through outreach, reintegration and community recovery initiatives.","Afghanistan","54304322.00","34390236.00"
"00061324","PIMS 4561 GEF-SGP Operational Phase 5","PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.","Bureau Policy & Prog Support","52338103.00","48382302.00"
"00079748","DRC Joint programming IV","Projet d'appui aux activités humanitaires en République démocratique du Congo","Democratic Republic of Congo","45314535.00","37293346.00"
"00062692","BRA/11/017 - Parcerias Conferência ONU Rio +20","Parcerias para Realização da Conferência das Nações Unidas sobre Desenvolvimento Sustentável - Rio +20","Brazil","45246946.00","41236369.00"
"00062307","GFATM Round 10 HIV Grant in Zambia","Improved access to Antiretroviral Therapy and increased access to HIV counselling and testing services","Zambia","42454834.00","12913843.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","41011510.00","38729957.00"
"00037179","BRA/04/044-Implement of projects and activit CTPD Latin","BRA/04/044 - Implementation of South-South cooperation projects and activities in Latin America, Africa and CPLP","Brazil","37111668.00","11160711.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","32843952.00","30763693.00"
"00058922","Afghanistan Sub-National Governance Programme II","Afghanistan Sub-National Governance Programme II supports Independent Directorate of Local Governance (IDLG), 34 provincial governor offices, 34 provincial councils, 21 municipalities and a number of district governor offices.","Afghanistan","26515496.00","17026503.00"
"00011492","Urban Poverty Alleviation","Local Partnership For Urban Poverty Alleviation - Works to improve livelihoods and living conditions in partnership with  the Government of Bangladesh and UN Habitat","Bangladesh","25874869.00","21713085.00"
"00060551","Early Recovery (ER) & Restoration in Pakistan","The programme seeks to restore sate and enabling environments for flood affected communities in 39 severely and moderately affected districts to recover from the impacts of the floods","Pakistan","25787244.00","26422920.00"
"00042824","Gestión de la Política Alimentaria","Apoyo a la Gestión de la Política Alimentaria, rediseño de su Unidad de Gestión y Fortalecimiento de sus Efectores.","Argentina","25643063.00","26354691.00"
"00061278","SUPPORT TO THE ELECTORAL CYCLE IN SIERRA LEONE","The project aims at electoral institutions strengthened to oversee the conduct of free, fair and credible elections.","Sierra Leone","25385228.00","21303739.00"
"00060216","Post Earthquake Recovery & Livelihood","Programme d'enlèvement des débris et des déchets et de démolition de structures dangereuses","Haiti","24601974.00","24488995.00"
"00051037","Sudan Disarmament, Demobilzation and Reintegration","Sudan Multi Year Disarmament Demobilization and Reintegration Programme","Sudan, Republic of the","23829002.00","19140364.00"
"00063879","Global Fund Malaria Round 10","Malaria interventions Scaling-up for Universal Coverage to reduce malaria-related morbidity and mortality by 50% of the 2009 levels by 2016 .","Sudan, Republic of the","23427341.00","17784785.00"
"00064986","Programme accélération d'appui aux populations Centrafricaine","Les populations centrafricaines et particulièrement les plus vulnérables participent à la formulation des programmes sociaux, utilisent les services de base, saisissent et valorisent au mieux les opportunités.","Central African Republic","23111423.00","13942368.00"
