"project_id","title","description","operating_unit","budget","expense"
"00061104","Law and Order Trust Fund for Afghanistan – Phase VI","Law and Order Trust Fund for Afghanistan – Phase VI is aimed to support the Ministry of Interior by providing police remunerations, infrastructure development and capacity development at different levels.","Afghanistan","632689752.00","494113640.00"
"00063078","Enhancing Legal and Electoral Capacity for Tomorrow 2","Enhancing Legal and Electoral Capacity for Tomorrow 2  supports the Independent Election Commission of Afghanistan with capacity development and voters registry in Afghanistan.","Afghanistan","164458021.00","152381949.00"
"00077591","Addressing Critical Gaps HIV Prevention, Treatment, Care","The projects seeks to address the critical gaps in HIV/AIDS interventions in Zimbabwe through reaching the most vulnerable populations in each of the 10 provinces of Zimbabwe.","Zimbabwe","134472859.00","74760925.00"
"00075011","COP 20","Apoyo a la generación de capacidades para la organización de la 20 edición de la Conferencia de Partes de la CMNUCC (COP 20) y la 10a. Conferencia de Partes del Protocolo de Kioto (CMP10)","Peru","82949077.00","80878368.00"
"00056943","Atención Primaria de la Salud","El objetivo de Proyecto es apoyar la implementación de acciones definidas por el Ministerio de Salud, orientadas a mejorar la salud de la población, mediante la consolidación de las redes provinciales de servicios públicos de salud.","Argentina","62788632.00","60616070.00"
"00061324","PIMS 4561 GEF-SGP Operational Phase 5","PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.","Bureau Policy & Prog Support","59813792.00","56359765.00"
"00057359","National Area-Based Development Programme Phase III","National Area Based Development Programme - Phase III - Aiming and contributing to a sustainable reduction of poverty and improving livelihoods in rural areas in Afghanistan.","Afghanistan","57513771.00","46173999.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","53239610.00","52170187.00"
"00060777","Afghanistan Peace & Reintegration Programme","Afghanistan Peace & Reintegration Programme works to promote peace, reconciliation and security in Afghan communities through outreach, reintegration and community recovery initiatives.","Afghanistan","39999410.00","29395094.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","37706063.00","36946382.00"
"00058656","Programa de Formación Académico Musical","Apoyar el proceso de consolidación estratégica de Fundación Musical Simón Bolívar a través de profesionalización y dotación de instrumentos y equipos, para el mejoramiento de las condiciones de vida de niños, niñas y adolescentes en condición de pobreza","Venezuela","31506933.00","31899964.00"
