"project_id","title","description","operating_unit","budget","expense"
"00089459","Funding Facility for Stabilization","To quickly respond to immediate needs of the areas which were under Islamic State of Iraq and Levant (ISIL) control and facilitate the process of return of internally displaced persons, this project provides stabilization support in Iraq.","Iraq","362407162.00","149634344.00"
"00089137","Law and Order Trust Fund for Afghanistan (LOTFA) - SUPPORT TO PAYROLL MANAGEMENT","LOTFA Support to Payroll Management Project, provides exclusive support to fulfill the Ministry of Interior payroll management. This project was jointly developed by Government of Afghanistan, Ministry of Interior, UNDP, donors and other partners.","Afghanistan","300045294.00","255299182.00"
"00107802","Commitment Towards Fast Tracking 90-90-90 Targets","Commitment Towards Fast Tracking 90-90-90 Targets by 2010 and Ending AIDS by 2030","Zimbabwe","128247707.00","77106733.00"
"00095446","Apoyo al Plan Estratégico para Garantizar una vida Sana y Promover el Bienestar de toda la población de la Provincia de Buenos Aires, en todas las etapas de su ciclo de vida (2016/2019)","Apoyo al Plan Estratégico para Garantizar una vida Sana y Promover el Bienestar de toda la población de la Provincia de Buenos Aires, en todas las etapas de su ciclo de vida (2016/2019)","Argentina","121176495.00","58722568.00"
"00090474","Procurement Support Services to Ministry of Health","At the request of the MoH, UNDP procures a range of medicines and medical products as an emergency measure, and builds the capacity needed to support a transparent, cost-effective procurement system for the Ministry.","Ukraine","104360691.00","81396835.00"
"00118949","Programa de apoyo para la eficiencia y la transparencia del proceso de modernización del documento nacional de identificación en Honduras","Programa de apoyo para la eficiencia y la transparencia del proceso de modernización del documento nacional de identificación en Honduras","Honduras","87786057.00","23228937.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","59756182.00","39063897.00"
"00106771","Yemen Crisis Response Project III","World Bank Additional Support to Yemen Crisis Emergency Response which is a 24-month aims to mitigate the impact of the current crisis on local households and communities and assist their recovery from the bottom-up using local systems,","Yemen","58651126.00","23966632.00"
"00084981","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales","Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales – Proyectos BID","Argentina","44440380.00","12525454.00"
"00127162","Dominica Development and Reconstruction Facility","Provides a transparent, predictable, coordinated and timely financial mechanism to accelerate recovery, reconstruction and development interventions.","Dominica","41756821.00","10087747.00"
"00126787","COVID-19 CO Response","The CO will strengthen national capacities to ensure attention is given to the needs of the most vulnerable people and guided by humanitarian principles of inclusion, gender, protection, and community participation principles","Honduras","40449050.00","148034.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","39047499.00","18294958.00"
"00105005","UN Electoral Support Project (UNESP)","The UN Electoral Support Project  is the international community’s programming vehicle to support the next elections in Afghanistan is supporting by the United Nation Development Programme UNDP.","Afghanistan","34621097.00","9013233.00"
"00094616","Immediate Stabilization Facility for Libya","This project will support the Government of National Accord (GNA) to deliver basic services and develop legitimacy by contributing to recovery and peace efforts.","Libya","33571911.00","16369584.00"
"00090372","GEF-SGP Operational Phase 6","GEF-SGP OP6 will target its support towards priority landscapes and seascapes for community based conservation actions, promote sustainable energy access co-benefits, climate smart agro-ecology, and local to global chemicals coalitions.","Bureau Policy & Prog Support","28578515.00","23826509.00"
"00102396","Recovery and Peacebuilding Programme","The programme aims to overcome the consequences of the military conflict in Ukraine and to provide a foundation for a rapid transition to sustainable recovery of the conflict-affected regions.","Ukraine","28364689.00","15386084.00"
"00093892","CRU - Global Project - Crisis Response","The global project for Crisis Response enables implementation of, and strengthens the key principles and elements of UNDP’s corporate crisis response strategy in order to ensure that the Organization’s crisis response capacity is fit for purpose.","Crisis Response Unit","25825905.00","3108231.00"
"00122500","Managing Agent of the Sudan Humanitarian Fund","Sudan Humanitarian Fund SHF 2019-UNDP-NGOs-SA2. This project has been established in line with UNDP’s role as Managing Agent of the Sudan Humanitarian Fund.","Sudan, Republic of the","23880049.00","5964147.00"
"00108446","Turkey Resilience Project in response to the SyriaCrisis","This proposal aims to strengthen the economic and social resilience of the individuals and institu-tions in the provinces that are most affected by the influx of Syrian refugees.","Turkey","23693460.00","11777001.00"
"00095143","Apoyo a la Implementación de la Política Nacional de Ciencia, Tecnología e Innovación","Apoyar a la SENACYT en la implementación de su Política de Ciencia, Tecnología e Innovación (PENCYT)","Panama","23561733.00","417825.00"
"00074638","Global Health Innovative Tech Research and Development","Global Health Innovative Technology Research and Development - Accelerating access and delivery of new health technologies for tuberculosis, malaria and neglected tropical diseases: supporting countries to achieve universal health coverage.","Bureau Policy & Prog Support","23333483.00","22915256.00"
"00112026","Achieving 2030 Agenda for Sustainable Development in AP","This Regional Project is designed as a framework for UNDP’s contributions to support countries in Asia and the Pacific to achieve eradication of poverty and significant reduction of inequalities and exclusion in a way that is sustainable and resilient.","Rgnl Center in Bangkok (RCB)","23012161.00","10756896.00"
"00084928","Inception Phase - National Urban Poverty Reduction Programme","National Urban Poverty Reduction Programme (NUPRP) will initially focus on up to 36 cities/towns in two phases throughout 2016-2022.","Bangladesh","22967807.00","11634365.00"
"00065799","Supporting Lebanese Hosting Communities","Support to economic recovery, community security and social cohesion in Lebanese communities affected by the Syrian Crisis","Lebanon","22640910.00","15293104.00"
"00119021","Première Allocation Standard du Fonds Commun Humanitaire - DRC-FH/UR-NGO's Janvier 2019","Première Allocation Standard du Fonds Commun Humanitaire - Janvier 2019  en république démocratique du Congo","Democratic Republic of Congo","22541439.00","15364543.00"
"00085156","Iraq Crisis Response and Resilience","Iraq Crisis Response and Resilience is a programme that supports crisis response, and helps to strengthen resilience in Iraq.","Iraq","22141200.00","11158275.00"
"00117580","Electoral Support Project","This initiation plan for Electoral Support Project has been developed to support the National Electoral Board of Ethiopia (NEBE) to ensure credible, inclusive and peaceful general elections which will take place in 2020 elections.","Ethiopia","22015119.00","23177241.00"
"00117562","CA-19 /CHFRES SA REP EPIDEMIE HEPATHITE VIRALE (E) RCA","Cette contribut° est la réponse aux besoins humanitaires les plus urgents identifiés à travers le Plan de Réponse Humanitaire 2018 et non couverts depuis le début de l’année 2018 ainsi que les nouvelles urgences découlant du contexte de conflits en RCA.","Central African Republic","21457397.00","18450275.00"
"00124997","Projet d’Appui au Processus Electoral 2019-2022","Le  présent projet vise à apporter une assistance au renforcement des capacités organisationnelles, techniques, financières et opérationnelles des principaux acteurs nationaux impliqués dans le processus électoral","Central African Republic","21353147.00","17157027.00"
"00112695","Programme d’Appui à la Lutte Antipaludique au Tchad – Phase III ","Le projet PALAT III s’inscrit dans le cadre du financement du Fonds mondial pour la lutte contre le paludisme au Tchad pour la période allant du 1er juillet 2018 au 30 juin 2021","Chad","21216372.00","14361201.00"
"00127475","Support to COVID-19 Response","COVID-19 Response Plan for Nigeria with the objective to ensure optimum care of confirmed COVID-19 cases and contain the spread of the outbreak through an inclusive and nationally owned process and based on emerging best practices.","Nigeria","21161063.00","7907747.00"
"00108620","Global Funds programme continuation","continuing the implementation of current Global Fund grants for an additional three years under  the same goals, strategic objectives and similar programmatic interventions.","Sudan, Republic of the","19857848.00","13320081.00"
"00036408","DESARROLLO METROPOLITANO MUNICIPALIDAD DE GUATEMALA","PROGRAMA DE DESARROLLO METROPOLITANO DE LA MUNICIPALIDAD DE GUATEMALA","Guatemala","19789602.00","13872974.00"
"00089434","Zimbabwe Resilence Building Fund","Increased capacities of communities to protect development gains and achieve improved well-being outcomes in the face of shocks and stresses enabling them to contribute to the economic growth of Zimbabwe","Zimbabwe","19727032.00","12507798.00"
"00116957","Joint UNDP-DPPA Programme on conflict prevention","Joint UNDP-DPPA Programme on building national capacities for conflict prevention deploys Peace and Development Advisors (PDAs) in fragile countries and supports Resident Coordinators (RCs) and UNCTs.","Crisis Response Unit","19085854.00","11640073.00"
"00090603","Bosques Nativos y Comunidad","El Objetivo proyecto es la mejora de la calidad de vida de las comunidades que habitan los Bosques Nativos a través de la promoción de la conservación, restauración y uso responsable de sus servicios y productos.","Argentina","18880932.00","908443.00"
"00129365","HIV MAL & TB Z GRANT","HIV MAL & TB Z GRANT","Angola","17108002.00","11328.00"
"00126570","Response to COVID-19 outbreak","Response to COVID-19 outbreak in BIH","Bosnia and Herzegovina","16875742.00","8937412.00"
"00120134","Managing Agent of the Sudan Humanitarian Fund - SDN 2019 SHF-UNDP-NGOs-SA1","UNDP Sudan 2019 Sudan Humanitarian Fund (SHF) UNDP-NGOs-SA1. This project has been established in line with UNDP’s role as Managing Agent of the Sudan Humanitarian.","Sudan, Republic of the","16514993.00","6474706.00"
"00121711","réponse rapide aux besoins les plus urgents des populations affectées par la crise - DRC-FH/UR-NGO's Juilllet 2019","Cette allocation est une réponse rapide aux besoins les plus urgents des populations affectées par la crise dans les Régions du Nord-Est, Centre- Est et Yumbi de la RD-Congo ainsi qu’aux personnes exposées à des risques ou touchées par les épidémies.","Democratic Republic of Congo","15707389.00","11714623.00"
"00126930","COVID-19 MOIA","Support to Ministry of Interior Affairs, Afghanistan in efforts to contain & respond to COVID-19 situation for ANP","Afghanistan","15322599.00","5728402.00"
"00116311","Prog. for EQ & Tsunami Infrastruc. Recon. Asst. (PETRA)","Indonesia, Sulawesi/Lombok Programme for Earthquake and Tsunami Infrastructure Reconstruction Assistance (PETRA)","Indonesia","14830534.00","2571134.00"
"00101442","Fonds National REDD+ de la RDC -Programme d’Appui à la Société Civile","Ce programme contribue à la bonne gouvernance du programme REDD+ en Republique democratique du Congo","Democratic Republic of Congo","14768180.00","5176137.00"
"00068663","Promover y fortalecer las estrategias de la Secretaría de Gabinete y Coordinación Administrativa para mejorar la atención al ciudadano y contribuir a la institucionalización de una gestión pública de calidad","Promover y fortalecer las estrategias gubernamentales de la Subsecretaría de Gestión Administrativa de Innovación Pública para mejorar la atención al ciudadano y contribuir a la institucionalización de una gestión pública de calidad.","Argentina","14023151.00","239850.00"
"00059882","POLITICAS MUNICIPALES DE JUVENTUD","El proyecto pretende contruibuir a la promoción y tutela de los derechos fundamentales de los jóvenes, para la prevensión de todas las formas de discriminación y marginalización.","Guatemala","13984223.00","2693840.00"
"00102590","Scaling-up of GLOF Risk Reduction in North Pakistan","Scaling-up of Glacial Lake Outburst Flood (GLOF) Risk Reduction in Northern Pakistan","Pakistan","13962640.00","1908055.00"
"00099753","Emergency Mine Action","Emergency Mines Clearance to reduce the socio-economic impact of explosive remnants of war and mines on people and communities.","Yemen","13862204.00","9974831.00"
"00121665","Moz Recovery Facility","The UNDP Recovery Facility has been developed in the aftermath of Cyclones Idai and Kenneth, aiming to contribute to Mozambique’s rapid restoration of development pathways in a manner that builds resilience to disasters.","Mozambique","13781503.00","4214552.00"
"00107033","Mejorando la Eficiencia y la Calidad del Sector Educativo","Mejorando la Eficiencia y la Calidad del Sector Educativo en Panama en la asignación de recursos y orientar las decisiones de política educativa a través de una transformación digital de los sistemas de información del Ministerio","Panama","13758828.00","4146992.00"
"00128893","Apoyo al Programa RISP-HO COVID-19","Proyecto Respuesta Inmediata de Salud Pública para Contener y Controlar el Coronavirus (COVID-19) y Mitigar su Efecto en la Prestación de Servicios en Honduras (RISP-HO)","Honduras","13541627.00","0.00"
"00073902","Programmade Gobernanza y Gestion en Salud - Proyectos ""Banco Internacional de Reconstruccion y Fomento""","Con la realización del Proyecto, se espera lograr una: i) Gestión Centralizada de la UFIS de la cartera del BM; ii) Apoyo en la utilización y calidad de los servicios de salud priorizados para la población sin cobertura explicita de salud.","Argentina","13389620.00","2582102.00"
"00108414","Support Services to Ministry of Health","Support to the implementation of the TB and Malaria grants managed by the Ministry of Health and Child Care in Zimbabwe","Zimbabwe","13298318.00","6638081.00"
"00121600","South Sudan Humanitarian Fund - SSHF 2019 SA2 MA/NGOs","This project has been established in line with UNDP’s role as Managing Agent of the South Sudan Humanitarian Fund/Country Based Pooled Fund as detailed in the SSHF/CBPF’s Terms of Reference.","South Sudan, Republic of","13221208.00","10039022.00"
"00095107","Procurement Support Services to FMOH","To strengthen the national public health procurement system and thereby improve the effectiveness of diagnosis and treatment of patients in the Republic of the Sudan","Sudan, Republic of the","13219024.00","7384758.00"
"00106306","Expanding and Enhancing Quality TB Prevention, Care, and Control Services in South Sudan","Expanding and Enhancing the Quality of HIV Prevention, Care, and Control Services in South Sudan","South Sudan, Republic of","12911922.00","10999640.00"
"00107254","Support national Tuberculosis and HIV programs","Le projet vise à soutenir les programmes nationaux de lutte contre la tuberculose et le VIH pour accélérer la mise en œuvre du plan stratégique national afin de réduire le fardeau du VIH et de la tuberculose au Burundi","Burundi","12741443.00","8089026.00"
"00107251","Eradication of Malaria in Burundi through Preventive and Management Actions","Réduction de la vulnérabilité liée au paludisme au Burundi de 2018 à 2020 par les actions de prévention et de prise en charge en population générale","Burundi","12530299.00","8720067.00"
"00087555","Acercando el Estado al Ciudadano","Contribuir a garantizar el acceso público del Estado al ciudadano a partir del diseño de una estrategia de comunicacion inclusiva y sostenible con enfoques de inclusion social, genero e interculturalidad.","Peru","12439649.00","9823005.00"
"00129611","Catalytic Support to MOIA-Korea Project","This Project supports the general approach through key interventions through catalytic interventions to support reform within the MOIA (successor of TSM PIP-Korea funded)","Afghanistan","12380850.00","0.00"
"00101619","Technical Assistance to REDD+ Implementation","Technical Assistance to implementation of United Nations Programme on Reducing Emissions from Deforestation and Forest Degradation","Bureau Policy & Prog Support","12337561.00","8478453.00"
"00121534","CliMateSud - Strategic Accelerator Partnership","Strategic Accelerator Partnership for Climate Change and Sustainable Development: partnership between UNDP and Italy to support countries in the areas of climate change and natural capital and environment supporting countries to achieve their SDGs.","Bureau Policy & Prog Support","12330342.00","3842957.00"
"00117366","Darfur Stabilization, Transition and Recovery Programme","ACTIVITIES TO BE UNDERTAKEN WITH UNAMID FUNDS IN SUPPORT OF THE UNITED NATIONS ACTIVITIES IN DARFUR ON HUMAN RIGHTS, RULE OF LAW AND RESILIENCE AND LIVELIHOODS/DURABLE SOLUTIONS","Sudan, Republic of the","12305768.00","6250795.00"
"00108936","Integrated Community Stabilization","The programme aims to stabilize local communities devastated by Boko Haram in North East Region of Nigeria through integrated approach focusing on the four inter-related areas: livelihoods, social cohesion, basic services, and local governance.","Nigeria","12186516.00","5862655.00"
"00123140","Stabilization Facility-Nigeria Window","The Facility act as a rapid-response package, aiming to achieve the immediate stabilisation of specific target areas in North East Nigeria, cleared of Boko Haram control, but where communities remain vulnerable to continued infiltration and attack.","Nigeria","12156660.00","6230435.00"
"00126670","Appui à la Réponse Nationale du COVID-19","Appui à la Réponse Nationale du COVID-19","Cameroon, Republic of","11940353.00","7376293.00"
"00113842","Disaster Response and Recovery Facility (DRRF)","Disaster Response and Recovery Facility (DRRF) programme aims to enhance disaster response and recovery functions to address natural disasters and humanitarian crisis, including Rohingya influx in Cox's Bazar.","Bangladesh","11513690.00","5066127.00"
"00104158","Resilience and Recovery","Put the country on a more robust development path by helping the local authorities to restore security, essential services delivery and livelihoods opportunities.","Libya","11486999.00","10151749.00"
"00113322","Somalia Justice Programme","The Somalia Justice Programme supports the National Development Plan 2017-2019 goal to ‘Establish independent, accountable and efficient justice institutions capable of addressing the justice needs of the people of Somalia’.","Somalia","11422126.00","5521223.00"
"00063928","Global HIV, Health and Development Project","Policy and technical support to address development dimensions of HIV and health. UNDP’s work in HIV and health is guided by the 2030 Agenda for Sustainable Development & the UNDP Strategic Plan 2018-2021.","Bureau Policy & Prog Support","11240308.00","4750780.00"
"00119944","Competencias Tecnologicas","Desarrollo de Competencias Tecnológicas en los docentes y diferentes actores que intervienen en los centros educativos, como parte del programa República Digital","Dominican Republic","10931664.00","7740167.00"
"00105010","COD-Fonds de Cohérence_Ensemble pour la paix","Fonds de Cohérence pour la stabilisation_Projet Ensemble pour la paix en republique democratique du congo","Democratic Republic of Congo","10898158.00","265312.00"
"00085258","Prevention, treatment and care of HIV in Tajikistan, II","The project goal is to continue strengthening the supportive environment and scaling up prevention, treatment and care to contain the HIV epidemic in the Republic of Tajikistan","Tajikistan","10850354.00","4570208.00"
"00130447","Gestion Logistica MINERD","Apoyo a la Digitalización de la Educación mediante la eficiencia en la gestión logística para asegurar el manejo y la distribución adecuada de los equipos necesarios para el fomento de las Tecnologías de la Información y Comunicación","Dominican Republic","10777866.00","0.00"
"00097823","Respuesta COVID19","Fortalecimiento de la capacidad de respuesta del Estado Plurinacional de Bolivia para la emergencia del COVID-19.","Bolivia","10747427.00","9504699.00"
"00096755","Global Programme - Rule of Law & Human Rights","Global Programme to Strengthen the Rule of Law and Human Rights for Sustaining Peace and Fostering Development","Crisis Response Unit","10679551.00","3553526.00"
"00087758","Solvent Sector Plan Stage II","Sector plan for Phase-out of HCFCs in the Solvent Sector in China (Stage-II, for  
2020 and 2025 compliance)","China","10412448.00","6477440.00"
"00098331","Programa de Justicia Transicional","El programa da respuesta a los desafíos que surgen de los Acuerdos de La Habana y que implican preparar a la institucionalidad y a la sociedad para la superación de las causas del conflicto y cuyo objetivo es resarcir los daños causados a las víctimas.","Colombia","10340649.00","2786075.00"
"00126918","Appui à la réponse nationale au COVID 19","Appui du PNUD à la stratégie nationale de riposte au COVID-19 à travers : 1) Renforcement système de santé, 2) gestion intégrée et inclusive de la crise, 3) appui à la mitigation de l'impact socio-économique du COVID-19","Madagascar","10203560.00","4843260.00"
"00090196","PAZ SOSTENIBLE","Contribuir, en asocio con las instituciones, la sociedad civil y la cooperación internacional, a la implementación de la Agenda 2030 en Colombia (especialmente el Objetivo 16) en el territorio","Colombia","10077829.00","4353844.00"
"00112820","Transitional Support to MOIA (TSM) Project","The Transitional Support to MOIA (TSM) Project has a dual purpose. The Project will conclude existing project deliverable associated with Ministry of Interior Affairs (MOIA)","Afghanistan","10077747.00","3697994.00"
"00108127","Merged Areas Governance Project","The Merged Areas Governance Project is a unified area-based project to build capacity of governance institutions in Merged Areas and assist the implementation of the Government’s FATA reform programme approved by the Federal Cabinet on 2 March 2017.","Pakistan","10054227.00","6015923.00"
"00098771","Community-Based Agriculture and Rural Development - East (CBARD-E)","Community-Based Agriculture and Rural Development - East (CBARD-E)
To prove the viability of high-value agricultural-based interventions in improving local economies in Nangarhar as a sustainable alternative to illicit crop cultivation.","Afghanistan","10045180.00","1394566.00"
"00126724","EU for Civil Protection","European Union for Civil Protection and Disaster Risk Resilience Strengthening in the Republic of Serbia","Serbia","10000000.00","8492462.00"
"00075077","EFICACIA Y EFICIENCIA EN USO DE RECURSOS REGALIAS","Fortalecer las capacidades de gestión pública territorial y nacional en el uso eficaz y eficiente de los recursos provenientes del Sistema General de Regalías (SGR)","Colombia","9990055.00","2360871.00"
"00061324","PIMS 4561 GEF-SGP Operational Phase 5","PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.","Bureau Policy & Prog Support","9922481.00","5132843.00"
"00124004","Fortalecimiento Órgano Electoral Plurinacional OEP","Fortalecer el OEP para garantizar elecciones creíbles, transparentes e inclusivas, y prevenir y/o mitigar cualquier potencial de violencia electoral.","Bolivia","9902912.00","4019910.00"
"00116893","État de droit, Sécurité et Cohésion sociale","Le programme vise le développement d’un Burkina Faso pacifique et inclusif qui œuvre à la promotion d’une sécurité humaine partagée et au renforcement de la justice et des droits de l’homme.","Burkina Faso","9810147.00","2653899.00"
"00106358","Biodiversity Finance Initiative (BIOFIN) Phase II","The Biodiversity Finance Initiative (BIOFIN) Phase II aims to produce improved biodiversity and development outcomes and to contribute to filling the finance gap through the implementation of Biodiversity Finance Solutions.","Bureau Policy & Prog Support","9661363.00","3841030.00"
"00113425","Pipol Konek","The project will support DICT's commitment to accelerate the roll-out of the Pipol Konek program which ia designed to provide free wifi internet access in public places.","Philippines","9645188.00","748914.00"
"00116195","Supporting Stability and Recovery through Local Gov","The project aims to assist the Government of Iraq (GoI) to restore the legitimacy of the country's institutions and to renew the social contract between citizens and state in a context of fractured and sectarian governance","Iraq","9615004.00","2566594.00"
"00117181","Eficiencia energética y calidad ambiental","Promoción de medidas que aporten al fortalecimiento de la eficiencia energética, energías limpias y calidad ambiental en el sector eléctrico.","Ecuador","9591526.00","1992829.00"
"00100778","Green Climate Fund","Priming Financial Instruments and Markets to Reduce Emissions from Deforestation","Ecuador","9567910.00","5612672.00"
"00109421","Apoyo Gestión Espacios Territoriales","Apoyo a la a Implementación del Proceso de Reincorporación en los Espacios Territoriales de Capacitación y Reincorporación  mediante la gestión y apoyo en la administración de dichos espacios","Colombia","9478515.00","3719560.00"
"00123521","Yemen Emergency Crisis Response For Prevention of Famine","Yemen Emergency Crisis Response Project for the Prevention of Famine (YECRP-FAMINE)","Yemen","9403738.00","9403722.00"
"00118265","Peace Support Facility","Peace Support Facility (PSF) project to support the political process in Hodeidah governorate","Yemen","9301917.00","2219181.00"
"00116594","Managing Agent of the Sudan Humanitarian Fund - SDN 2018 SHF- UNDP-NGOs-SA3","SDN 2018 SHF- UNDP-NGOs-SA3 UNDP Sudan Humanitarian Fund (SHF) UNDP-NGOs-SA3 project serves to contract with and disburse funds to NGOs for SHF allocations.","Sudan, Republic of the","9299580.00","7715478.00"
