"project_id","title","description","operating_unit","budget","expense"
"00061104","Law and Order Trust Fund for Afghanistan – Phase VI","Law and Order Trust Fund for Afghanistan – Phase VI is aimed to support the Ministry of Interior by providing police remunerations, infrastructure development and capacity development at different levels.","Afghanistan","553169609.00","524276652.00"
"00057048","Modernización Registro Nacional de las Personas","Modernización Tecnológica e Informatización del Registro Nacional de las Personas","Argentina","107867246.00","69911941.00"
"00063078","Enhancing Legal and Electoral Capacity for Tomorrow 2","Enhancing Legal and Electoral Capacity for Tomorrow 2  supports the Independent Election Commission of Afghanistan with capacity development and voters registry in Afghanistan.","Afghanistan","91271891.00","44824248.00"
"00066602","Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria)","Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).","Argentina","73177431.00","68018370.00"
"00061324","PIMS 4561 GEF-SGP Operational Phase 5","PIMS 4561 - This project will provide support to communities through small grants by continuing the Small Grants Programme its fifth Operational Phase.","Bureau Policy & Prog Support","66710310.00","55472694.00"
"00060777","Afghanistan Peace & Reintegration Programme","Afghanistan Peace & Reintegration Programme works to promote peace, reconciliation and security in Afghan communities through outreach, reintegration and community recovery initiatives.","Afghanistan","65286830.00","46188992.00"
"00058658","Universal access in HIV Prevention, Treatment, Care","Round 8 HIV AIDS Grant: Towards universal access: in HIV Prevention, Treatment, Care and Support in Zimbabwe: ZIM-809-G11-H","Zimbabwe","64386434.00","103813501.00"
"00057359","National Area-Based Development Programme Phase III","National Area Based Development Programme - Phase III - Aiming and contributing to a sustainable reduction of poverty and improving livelihoods in rural areas in Afghanistan.","Afghanistan","63475194.00","45518587.00"
"00056943","Atención Primaria de la Salud","El objetivo de Proyecto es apoyar la implementación de acciones definidas por el Ministerio de Salud, orientadas a mejorar la salud de la población, mediante la consolidación de las redes provinciales de servicios públicos de salud.","Argentina","63113697.00","55733556.00"
"00076058","SSF HIV Grant in Zambia","Securing and sustaining equitable access to ART commodities and services","Zambia","50473624.00","762165.00"
"00058656","Programa de Formación Académico Musical","Apoyar el proceso de consolidación estratégica de Fundación Musical Simón Bolívar a través de profesionalización y dotación de instrumentos y equipos, para el mejoramiento de las condiciones de vida de niños, niñas y adolescentes en condición de pobreza","Venezuela","40710586.00","21142374.00"
"00073565","Support humanitarian work in Sudan 2013","Common Humanitarian Fund CHF project supports humanitarian work in Sudan. The project has been established in line with UNDP’s role as Managing Agent of the Sudan Humanitarian Fund and serves to manage the contracts related to allocations to NGOs","Sudan, Republic of the","35238591.00","16560122.00"
"00057622","Refugee Affected & Hosting Areas Programme","The overall objective of RAHA is to promote regional stability and compensate for social, economic and environmental consequences wrought on Pakistani communities by the presence of more than 3 million Afghans over the past 30 years.","Pakistan","33331337.00","24172100.00"
"00049150","Social Fund for Development - Phase IV","The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development","Egypt","31265757.00","30267465.00"
"00064570","Projet Elections 2012-2014","Le projet traduit l'engagement des Nations Unies pour appuyer financièrement et techniquement le processus électoral en vue de contribuer à  'enracinement de l'Etat de droit, la démocratie pluraliste et la stabilité politique au Mali","Mali","30729420.00","27518124.00"
"00059485","Sudan Common Humanitarian Fund 2010","UNDP Sudan Common Human Fund CHF 2010 is a multi-donor pooled fund used to support the timely allocation and disbursement of donor resources to the most critical humanitarian needs of Sudan","Sudan, Republic of the","28275597.00","20755724.00"
"00072804","BRA/13/003 - Apoio Organização da Copa das Confederações","Apoio à Organização da Copa das Confederações 2013 e Preparação para a Copa do Mundo Fifa 2014 em Brasília","Brazil","24449955.00","23613022.00"
"00058922","Afghanistan Sub-National Governance Programme II","Afghanistan Sub-National Governance Programme II supports Independent Directorate of Local Governance (IDLG), 34 provincial governor offices, 34 provincial councils, 21 municipalities and a number of district governor offices.","Afghanistan","23271405.00","21046070.00"
