project_id,title,description,operating_unit,budget,expense
89459,Funding Facility for Stabilization,"To quickly respond to immediate needs of the areas which were under Islamic State of Iraq and Levant (ISIL) control and facilitate the process of return of internally displaced persons, this project provides stabilization support in Iraq.",Iraq,362407162,149634344
89137,Law and Order Trust Fund for Afghanistan (LOTFA) - SUPPORT TO PAYROLL MANAGEMENT,"LOTFA Support to Payroll Management Project, provides exclusive support to fulfill the Ministry of Interior payroll management. This project was jointly developed by Government of Afghanistan, Ministry of Interior, UNDP, donors and other partners.",Afghanistan,300045294,255299182
107802,Commitment Towards Fast Tracking 90-90-90 Targets,Commitment Towards Fast Tracking 90-90-90 Targets by 2010 and Ending AIDS by 2030,Zimbabwe,128247707,77106733
95446,"Apoyo al Plan Estratégico para Garantizar una vida Sana y Promover el Bienestar de toda la población de la Provincia de Buenos Aires, en todas las etapas de su ciclo de vida (2016/2019)","Apoyo al Plan Estratégico para Garantizar una vida Sana y Promover el Bienestar de toda la población de la Provincia de Buenos Aires, en todas las etapas de su ciclo de vida (2016/2019)",Argentina,121176495,58722568
90474,Procurement Support Services to Ministry of Health,"At the request of the MoH, UNDP procures a range of medicines and medical products as an emergency measure, and builds the capacity needed to support a transparent, cost-effective procurement system for the Ministry.",Ukraine,104360691,81396835
118949,Programa de apoyo para la eficiencia y la transparencia del proceso de modernización del documento nacional de identificación en Honduras,Programa de apoyo para la eficiencia y la transparencia del proceso de modernización del documento nacional de identificación en Honduras,Honduras,87786057,23228937
66602,Apoyo a la Gestion de la Politica Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria),Apoyo a la Gestión de la Política Alimentaria y Fortalecimiento de las Organizaciones Comunitarias (Abordaje Comunitario del Plan Nacional de Seguridad Alimentaria).,Argentina,59756182,39063897
106771,Yemen Crisis Response Project III,"World Bank Additional Support to Yemen Crisis Emergency Response which is a 24-month aims to mitigate the impact of the current crisis on local households and communities and assist their recovery from the bottom-up using local systems,",Yemen,58651126,23966632
84981,Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales,Consolidación del modelo de atención primaria de la salud a través de la provisión y dispensa de medicamentos esenciales – Proyectos BID,Argentina,44440380,12525454
127162,Dominica Development and Reconstruction Facility,"Provides a transparent, predictable, coordinated and timely financial mechanism to accelerate recovery, reconstruction and development interventions.",Dominica,41756821,10087747
126787,COVID-19 CO Response,"The CO will strengthen national capacities to ensure attention is given to the needs of the most vulnerable people and guided by humanitarian principles of inclusion, gender, protection, and community participation principles",Honduras,40449050,148034
49150,Social Fund for Development - Phase IV,The SFD is mandated to participate in the government efforts to address unemployment by promoting MSEs development,Egypt,39047499,18294958
105005,UN Electoral Support Project (UNESP),The UN Electoral Support Project  is the international community’s programming vehicle to support the next elections in Afghanistan is supporting by the United Nation Development Programme UNDP.,Afghanistan,34621097,9013233
94616,Immediate Stabilization Facility for Libya,This project will support the Government of National Accord (GNA) to deliver basic services and develop legitimacy by contributing to recovery and peace efforts.,Libya,33571911,16369584
90372,GEF-SGP Operational Phase 6,"GEF-SGP OP6 will target its support towards priority landscapes and seascapes for community based conservation actions, promote sustainable energy access co-benefits, climate smart agro-ecology, and local to global chemicals coalitions.",Bureau Policy & Prog Support,28578515,23826509
102396,Recovery and Peacebuilding Programme,The programme aims to overcome the consequences of the military conflict in Ukraine and to provide a foundation for a rapid transition to sustainable recovery of the conflict-affected regions.,Ukraine,28364689,15386084
